TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T000,Task_0,Engineering,0,"SQL,React,DataAnalysis",3-4,5
T001,Task_1,Engineering,3,UnicornSkill,1-3,5
T002,Task_2,Engineering,3,"Java,ML,DataAnalysis","[3, 4]",1
T003,Task_3,Design,3,"DataAnalysis,Go,Docker",1-4,1
T004,Task_4,Engineering,2,"React,Go,DataAnalysis",[4],5
T005,Task_5,Engineering,2,"React,SQL,Go","[1, 5]",2
T006,Task_6,QA,1,"Java,DataAnalysis,Python","[1, 3, 4]",3
T007,Task_7,QA,1,"SQL,ML,DataAnalysis",3-4,5
T008,Task_8,Design,1,"Docker,Java,Go",3-5,1
T009,Task_9,Design,1,"ML,Java,Go",1-4,2
T010,Task_10,DevOps,2,"Docker,React,Go",1-4,5
T011,Task_11,DevOps,3,"DataAnalysis,Go,React",3-5,1
T012,Task_12,Engineering,1,"Go,ML,React",[4],4
T013,Task_13,DevOps,3,"SQL,Docker,Python",3-5,3
T014,Task_14,Engineering,2,"DataAnalysis,React,Java",3-5,5
T015,Task_15,Design,3,"React,DataAnalysis,ML","[2, 3]",2
T016,Task_16,Engineering,3,"ML,Java,Python",2-4,2
T017,Task_17,Engineering,1,"React,Python,ML",[5],2
T018,Task_18,Design,3,"Docker,SQL,React","[2, 3, 4, 5]",4
T019,Task_19,QA,2,"Docker,Python,React",1-4,1
T020,Task_20,Design,3,"Java,Python,DataAnalysis",1-2,1
T021,Task_21,QA,1,"Java,Go,ML","[2, 5]",5
T022,Task_22,DevOps,1,"Docker,DataAnalysis,Java",1-2,4
T023,Task_23,QA,2,"DataAnalysis,Java,ML",3-4,1
T024,Task_24,DevOps,3,"ML,DataAnalysis,Python",1-3,5
T025,Task_25,DevOps,1,"DataAnalysis,React,Go","[1, 4]",5
T026,Task_26,Engineering,1,"Python,Docker,React",2-4,4
T027,Task_27,Design,2,"Python,React,Java",2-4,4
T028,Task_28,QA,2,"Docker,React,DataAnalysis","[1, 5]",3
T029,Task_29,Engineering,1,"Docker,SQL,DataAnalysis",1-2,2
